"edad" "sexo" "mes" "periodo" "casos" "poblacion" "estacion"
"331" 2 "1" "6" "2001" 2 126111 "2"
"332" 3 "2" "1" "2001" 1 128128 "1"
"333" 2 "2" "3" "2001" 1 119809 "1"
"334" 1 "2" "12" "2001" 1 124202 "1"
"335" 3 "1" "8" "2001" 3 135242 "2"
"336" 2 "2" "10" "2001" 3 119809 "2"
"337" 3 "2" "6" "2001" 2 128128 "2"
"338" 3 "1" "1" "2001" 4 135242 "1"
"339" 3 "2" "8" "2001" 0 128128 "2"
"340" 2 "1" "2" "2001" 1 126111 "1"
"341" 3 "1" "11" "2001" 4 135242 "1"
"342" 1 "2" "11" "2001" 0 124202 "1"
"343" 2 "2" "4" "2001" 0 119809 "2"
"344" 1 "1" "3" "2001" 1 130004 "1"
"345" 3 "2" "11" "2001" 1 128128 "1"
"346" 2 "2" "8" "2001" 0 119809 "2"
"347" 2 "1" "8" "2001" 0 126111 "2"
"348" 1 "1" "6" "2001" 1 130004 "2"
"349" 2 "1" "10" "2001" 4 126111 "2"
"350" 3 "1" "10" "2001" 4 135242 "2"
"351" 2 "1" "4" "2001" 1 126111 "2"
"352" 3 "1" "7" "2001" 1 135242 "2"
"353" 2 "2" "2" "2001" 1 119809 "1"
"354" 3 "1" "5" "2001" 1 135242 "2"
"355" 1 "2" "4" "2001" 0 124202 "2"
"356" 2 "2" "7" "2001" 0 119809 "2"
"357" 2 "2" "12" "2001" 2 119809 "1"
"358" 3 "2" "3" "2001" 0 128128 "1"
"359" 3 "2" "5" "2001" 3 128128 "2"
"360" 1 "1" "1" "2001" 3 130004 "1"
"361" 2 "1" "10" "2002" 2 129189 "2"
"362" 2 "2" "6" "2002" 1 123085 "2"
"363" 1 "1" "3" "2002" 0 137639 "1"
"364" 2 "2" "9" "2002" 5 123085 "2"
"365" 2 "1" "8" "2002" 0 129189 "2"
"366" 2 "1" "4" "2002" 0 129189 "2"
"367" 1 "2" "12" "2002" 0 129767 "1"
"368" 1 "2" "4" "2002" 1 129767 "2"
"369" 2 "2" "11" "2002" 1 123085 "1"
"370" 1 "2" "10" "2002" 2 129767 "2"
"371" 2 "2" "5" "2002" 5 123085 "2"
"372" 1 "1" "10" "2002" 1 137639 "2"
"373" 3 "2" "3" "2002" 1 129018 "1"
"374" 3 "1" "3" "2002" 2 136376 "1"
"375" 3 "1" "8" "2002" 3 136376 "2"
"376" 3 "1" "1" "2002" 0 136376 "1"
"377" 3 "1" "11" "2002" 4 136376 "1"
"378" 2 "2" "4" "2002" 1 123085 "2"
"379" 1 "2" "6" "2002" 1 129767 "2"
"380" 3 "2" "9" "2002" 0 129018 "2"
"381" 2 "1" "12" "2002" 0 129189 "1"
"382" 3 "1" "12" "2002" 1 136376 "1"
"383" 3 "1" "9" "2002" 3 136376 "2"
"384" 1 "1" "2" "2002" 1 137639 "1"
"385" 3 "1" "10" "2002" 3 136376 "2"
"386" 3 "2" "4" "2002" 2 129018 "2"
"387" 3 "2" "1" "2002" 3 129018 "1"
"388" 3 "2" "5" "2002" 3 129018 "2"
"389" 2 "2" "2" "2002" 2 123085 "1"
"390" 2 "1" "3" "2002" 1 129189 "1"
"391" 1 "2" "5" "2002" 0 129767 "2"
"392" 2 "2" "7" "2002" 3 123085 "2"
"393" 1 "1" "1" "2002" 1 137639 "1"
"394" 1 "1" "11" "2002" 3 137639 "1"
"395" 2 "1" "9" "2002" 1 129189 "2"
"396" 1 "2" "7" "2002" 1 129767 "2"
"397" 2 "1" "6" "2002" 4 129189 "2"
"398" 2 "1" "5" "2002" 2 129189 "2"
"399" 2 "1" "2" "2002" 3 129189 "1"
"400" 1 "2" "3" "2002" 0 129767 "1"
"401" 1 "2" "1" "2002" 0 129767 "1"
"402" 2 "2" "3" "2002" 2 123085 "1"
"403" 3 "2" "10" "2002" 4 129018 "2"
"404" 3 "2" "7" "2002" 3 129018 "2"
"405" 3 "1" "5" "2002" 2 136376 "2"
"406" 3 "2" "2" "2002" 2 129018 "1"
"407" 3 "2" "12" "2002" 2 129018 "1"
"408" 3 "2" "11" "2002" 4 129018 "1"
"409" 3 "1" "7" "2002" 1 136376 "2"
"410" 1 "1" "7" "2002" 1 137639 "2"
"411" 3 "1" "4" "2002" 3 136376 "2"
"412" 1 "2" "11" "2002" 1 129767 "1"
"413" 1 "1" "9" "2002" 0 137639 "2"
"414" 2 "2" "8" "2002" 2 123085 "2"
"415" 2 "2" "12" "2002" 3 123085 "1"
"416" 3 "2" "8" "2002" 1 129018 "2"
"417" 1 "1" "4" "2002" 3 137639 "2"
"418" 2 "1" "1" "2002" 4 129189 "1"
"419" 1 "2" "2" "2002" 1 129767 "1"
"420" 2 "1" "7" "2002" 4 129189 "2"
"421" 2 "2" "10" "2002" 4 123085 "2"
"422" 1 "1" "6" "2002" 1 137639 "2"
"423" 2 "2" "1" "2002" 0 123085 "1"
"424" 2 "1" "11" "2002" 2 129189 "1"
"425" 1 "2" "9" "2002" 2 129767 "2"
"426" 1 "1" "8" "2002" 3 137639 "2"
"427" 3 "1" "6" "2002" 3 136376 "2"
"428" 3 "2" "6" "2002" 1 129018 "2"
"429" 3 "1" "2" "2002" 5 136376 "1"
"430" 1 "2" "8" "2002" 1 129767 "2"
"431" 1 "1" "12" "2002" 3 137639 "1"
"432" 1 "1" "5" "2002" 2 137639 "2"
"433" 1 "2" "2" "2003" 2 122177 "1"
"434" 3 "1" "4" "2003" 3 138029 "2"
"435" 2 "2" "4" "2003" 1 128149 "2"
"436" 2 "1" "9" "2003" 2 133598 "2"
"437" 3 "1" "2" "2003" 4 138029 "1"
"438" 2 "2" "1" "2003" 3 128149 "1"
"439" 2 "2" "2" "2003" 5 128149 "1"
"440" 3 "2" "1" "2003" 3 132169 "1"
"441" 2 "1" "12" "2003" 0 133598 "1"
"442" 2 "1" "5" "2003" 3 133598 "2"
"443" 2 "2" "9" "2003" 3 128149 "2"
"444" 2 "2" "5" "2003" 6 128149 "2"
"445" 3 "2" "9" "2003" 0 132169 "2"
"446" 1 "1" "2" "2003" 1 129028 "1"
"447" 2 "1" "7" "2003" 0 133598 "2"
"448" 2 "1" "10" "2003" 4 133598 "2"
"449" 1 "2" "12" "2003" 0 122177 "1"
"450" 3 "1" "5" "2003" 2 138029 "2"
"451" 3 "1" "11" "2003" 0 138029 "1"
"452" 1 "1" "6" "2003" 0 129028 "2"
"453" 1 "1" "7" "2003" 2 129028 "2"
"454" 1 "1" "1" "2003" 2 129028 "1"
"455" 2 "1" "2" "2003" 2 133598 "1"
"456" 1 "1" "4" "2003" 5 129028 "2"
"457" 2 "2" "6" "2003" 3 128149 "2"
"458" 2 "2" "11" "2003" 1 128149 "1"
"459" 1 "2" "4" "2003" 1 122177 "2"
"460" 1 "1" "8" "2003" 0 129028 "2"
"461" 1 "1" "10" "2003" 2 129028 "2"
"462" 2 "1" "11" "2003" 1 133598 "1"
"463" 3 "1" "12" "2003" 2 138029 "1"
"464" 3 "2" "5" "2003" 1 132169 "2"
"465" 3 "2" "10" "2003" 4 132169 "2"
"466" 1 "2" "6" "2003" 0 122177 "2"
"467" 3 "1" "1" "2003" 5 138029 "1"
"468" 2 "1" "1" "2003" 2 133598 "1"
"469" 3 "2" "12" "2003" 3 132169 "1"
"470" 3 "2" "8" "2003" 1 132169 "2"
"471" 1 "1" "5" "2003" 0 129028 "2"
"472" 2 "1" "6" "2003" 3 133598 "2"
"473" 1 "2" "3" "2003" 6 122177 "1"
"474" 3 "2" "2" "2003" 1 132169 "1"
"475" 3 "2" "11" "2003" 2 132169 "1"
"476" 1 "2" "5" "2003" 3 122177 "2"
"477" 1 "2" "10" "2003" 1 122177 "2"
"478" 3 "2" "6" "2003" 1 132169 "2"
"479" 3 "1" "6" "2003" 0 138029 "2"
"480" 2 "2" "3" "2003" 4 128149 "1"
"481" 3 "2" "7" "2003" 0 132169 "2"
"482" 1 "1" "3" "2003" 0 129028 "1"
"483" 3 "1" "3" "2003" 2 138029 "1"
"484" 1 "2" "1" "2003" 1 122177 "1"
"485" 3 "1" "10" "2003" 1 138029 "2"
"486" 1 "2" "9" "2003" 1 122177 "2"
"487" 1 "2" "8" "2003" 0 122177 "2"
"488" 3 "2" "4" "2003" 2 132169 "2"
"489" 2 "2" "10" "2003" 2 128149 "2"
"490" 2 "1" "3" "2003" 3 133598 "1"
"491" 1 "1" "12" "2003" 5 129028 "1"
"492" 2 "1" "4" "2003" 0 133598 "2"
"493" 3 "2" "3" "2003" 1 132169 "1"
"494" 1 "1" "9" "2003" 1 129028 "2"
"495" 1 "2" "7" "2003" 1 122177 "2"
"496" 3 "1" "9" "2003" 1 138029 "2"
"497" 1 "1" "11" "2003" 0 129028 "1"
"498" 2 "2" "12" "2003" 0 128149 "1"
"499" 2 "2" "8" "2003" 3 128149 "2"
"500" 1 "2" "11" "2003" 2 122177 "1"
"501" 2 "2" "7" "2003" 0 128149 "2"
"502" 3 "1" "7" "2003" 1 138029 "2"
"503" 2 "1" "8" "2003" 1 133598 "2"
"504" 3 "1" "8" "2003" 2 138029 "2"
