encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
136	Araba	Mujer	40	1	17	1	0	0	0	2	2	Muy bajos	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
137	Araba	Hombre	57	1	39	0	1	0	0	600	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
138	Araba	Hombre	60	1	40	1	1	0	0	60	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	0
139	Gipuzkoa	Mujer	55	1	25	0	0	0	0	50	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	0
140	Bizkaia	Mujer	37	1	14	0	0	0	0	325	1	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay demasiados	1	0	0	0
141	Araba	Hombre	50	1	30	1	0	1	0	150	1	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay demasiados	1	1	1	1
142	Gipuzkoa	Mujer	44	1	26	1	0	0	0	200	1	Estan ok	Alguna vez	A veces	A veces	Siempre	Estan ok	1	0	0	0
143	Bizkaia	Hombre	54	1	35	0	0	0	0	2000	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	1	0	1
144	Bizkaia	Hombre	77	1	52	0	0	0	0	10	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	1	0	0	0
145	Bizkaia	Mujer	50	1	30	0	0	0	0	0	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	0	0	0
146	Araba	Hombre	34	1	14	0	0	0	0	50	0	Muy altos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
147	Bizkaia	Mujer	35	1	9	0	0	0	0	30	1	Muy bajos	Alguna vez	Nunca	A veces	Siempre	Estan ok	1	0	0	0
148	Bizkaia	Mujer	52	1	34	0	0	0	0	50	0	Muy bajos	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
149	Bizkaia	Mujer	42	1	20	0	0	0	0	100	0	Estan ok	Alguna vez	Nunca	Nunca	No siempre	Hay demasiados	0	1	1	1
150	Bizkaia	Mujer	45	1	27	1	0	0	0	60	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	0	0	0
151	Bizkaia	Hombre	54	1	35	0	0	0	0	2000	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	1	0	1
152	Bizkaia	Hombre	24	1	6	0	0	0	0	500	0	Estan ok	Nunca	A veces	Nunca	Siempre	Estan ok	0	0	0	0
153	Araba	Hombre	37	1	19	0	0	0	0	400	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
154	Gipuzkoa	Hombre	72	1	40	0	0	0	0	40	0	Muy altos	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
155	Bizkaia	Hombre	73	1	45	0	0	0	0	0	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	1	0
156	Bizkaia	Hombre	27	1	3	1	0	0	0	10	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
157	Bizkaia	Mujer	47	1	18	0	0	1	0	520	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay demasiados	0	1	0	0
158	Bizkaia	Hombre	78	1	55	0	0	0	0	175	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	1	1
159	Bizkaia	Mujer	45	1	23	0	0	0	0	5	1	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	1	0	0	0
160	Bizkaia	Mujer	27	1	5	0	0	0	0	800	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
161	Bizkaia	Mujer	26	1	3	0	0	0	0	0	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
162	Araba	Hombre	36	1	17	1	1	0	0	50	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	0	1	1	1
163	Bizkaia	Mujer	48	1	28	0	0	0	0	100	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	0	1	0
164	Bizkaia	Mujer	23	1	4	0	0	0	0	0	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
165	Araba	Hombre	49	1	31	1	0	0	0	250	1	Estan ok	Alguna vez	A veces	A veces	Siempre	Hay que cambiarlos de sitio	1	1	0	1
166	Bizkaia	Hombre	44	1	25	1	1	0	1	34	0	Estan ok	Bastante/Mucho	Nunca	Nunca	Siempre	Hay demasiados	0	1	1	1
167	Araba	Hombre	49	1	31	0	0	0	0	300	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	0	1
168	Bizkaia	Mujer	45	1	25	0	0	0	0	20	3	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
169	Bizkaia	Hombre	30	1	8	0	0	0	0	100	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	1	1	1
170	Bizkaia	Mujer	65	1	37	0	0	0	0	20	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
171	Bizkaia	Mujer	40	1	15	0	0	0	0	100	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
172	Bizkaia	Mujer	22	1	1	0	0	0	0	5	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
173	Araba	Hombre	68	1	48	0	0	0	0	100	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
174	Bizkaia	Mujer	25	1	4	0	0	0	0	20	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
175	Bizkaia	Hombre	45	1	27	1	1	0	0	200	1	Muy bajos	Bastante/Mucho	A veces	Nunca	Siempre	Hay demasiados	1	1	0	1
176	Araba	Mujer	65	1	45	0	0	0	0	50	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
