encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
91	Bizkaia	Mujer	22	1	1	0	0	0	0	5	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
92	Bizkaia	Mujer	27	1	5	0	0	0	0	800	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
93	Gipuzkoa	Hombre	72	1	50	1	1	1	0	20	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
94	Araba	Hombre	56	1	38	0	0	0	0	40	0	Estan ok	Alguna vez	Nunca	Nunca	No siempre	Estan ok	0	1	0	0
95	Bizkaia	Hombre	65	1	40	0	0	0	1	50	3	Muy bajos	Bastante/Mucho	Nunca	A veces	Siempre	Hay que colocar mas	1	1	1	0
96	Gipuzkoa	Mujer	45	1	25	1	0	0	0	80	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que colocar mas	0	1	0	0
97	Gipuzkoa	Hombre	21	1	2	0	0	0	0	50	1	Muy bajos	Bastante/Mucho	A veces	Nunca	Siempre	Hay demasiados	1	0	0	0
98	Bizkaia	Hombre	62	1	44	0	0	0	0	40	3	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
99	Bizkaia	Mujer	25	1	3	0	0	0	0	20	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
100	Araba	Mujer	42	1	17	0	0	0	0	30	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
101	Bizkaia	Hombre	63	1	43	0	0	0	0	200	4	Estan ok	Bastante/Mucho	A veces	A veces	Siempre	Estan ok	1	1	0	0
102	Araba	Hombre	42	1	24	1	0	0	0	40	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	0	1
103	Bizkaia	Hombre	38	1	1	0	1	0	0	100	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
104	Gipuzkoa	Mujer	48	1	31	0	0	0	0	40	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	1	0	1
105	Gipuzkoa	Hombre	62	1	41	0	0	0	0	10	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	0	1	0	1
106	Araba	Hombre	56	1	25	0	0	0	0	100	3	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	0	0	0
107	Bizkaia	Hombre	44	1	25	1	1	0	1	34	0	Estan ok	Bastante/Mucho	Nunca	Nunca	Siempre	Hay demasiados	0	1	1	1
108	Gipuzkoa	Hombre	46	1	19	0	0	0	0	100	2	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	1	1	1
109	Gipuzkoa	Hombre	62	1	35	0	0	0	0	100	5	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
110	Bizkaia	Hombre	77	1	52	0	0	0	0	10	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	1	0	0	0
